section,model,kv_heads,k_type,v_type,k_bpv,v_bpv,kv_bpv,ctx,chunks,sink,ppl,pp512,tg128
sinks,qwen2.5-7b,2,tqk_5hi_3lo_had,tqv_had_mse4,3.88,4.13,4.00,512,8,128,119,,
sinks,qwen2.5-7b,2,tqk_5hi_3lo_had,tqv_had_mse4,3.88,4.13,4.00,512,8,256,107,,
# Long context — Mistral 7B at 16K
longctx,mistral-7b,32,f16,f16,16.00,16.00,16.00,16384,1,0,3.594,,
longctx,mistral-7b,32,q8_0,q8_0,8.00,8.00,8.00,16384,1,0,3.593,,
longctx,mistral-7b,32,q4_0,q4_0,4.50,4.50,4.50,16384,1,0,3.628,,
longctx,mistral-7b,32,tqk_5hi_3lo_had,tqv_had_mse4,3.88,4.13,4.00,16384,1,0,3.658,,
longctx,mistral-7b,32,tqk_5hi_3lo_had,tqv_had_mse4,3.88,4.13,4.00,16384,1,64,3.659,,
longctx,mistral-7b,32,tqk_5hi_3lo_had,tqv_had_mse4,3.88,4.13,4.00,16384,1,128,3.654,,
longctx,mistral-7b,32,tqk_5hi_3lo_had,tqv_had_mse4,3.88,4.13,4.00,16384,1,256,3.656,,
